"english","dutch"
"Air flow mode control switch","Schakelaar voor luchtstroommodus"
"Air flow to all the seats","Luchtstroom naar alle stoelen"
"Air flow to the front seats only","Alleen luchtstroom naar de voorstoelen"
"Air leaking from between tire and wheel","Luchtlekkage tussen de band en de velg"
"Air outlet layout and operations","Verdeling en werking van de luchtroosters"
"Air pressure gauge","Manometer"
"Air release cap","Dop voor luchtmondstuk"
"Airbag manual on-off switch","Handmatige aan/uit-schakelaar van airbag"
"Airbag manual on-off system","Systeem voor handmatig aan-/uitzetten van airbag"
"Airbag operating conditions","Voorwaarden voor activering van de airbags"
"Airbag precautions","Voorzorgsmaatregelen voor airbags"
"Airbag precautions for your child","Voorzorgsmaatregelen voor airbags bij aanwezigheid van kinderen"
"Airbag sensor assembly","Airbagsensoreenheid"
"Airbags","Airbags"
"Airflow mode control switch","Schakelaar voor luchtstroommodus"
"Airflow to all the seats","Luchtstroom naar alle stoelen"
"Airflow to the front seats only","Alleen luchtstroom naar de voorstoelen"
"Alarm","Alarm"
"Alarm-operated door lock","Portiervergrendeling door het alarm"
"Alert options","Waarschuwingsopties"
"Alert timing","Waarschuwingsmoment"
"ALL AUTO (“ECO”) control","ALL AUTO (“ECO”) regeling"
"ALL AUTO (ECO) control","ALL AUTO (ECO) regeling"
"ALL AUTO (ECO) switch","Schakelaar ALL AUTO (ECO)"
"ALL AUTO control","ALL AUTO regeling"
"Alphabetical index","Alfabetische index"
"Aluminum wheel precautions","Voorzorgsmaatregelen voor aluminium velgen"
"Aluminum wheels","Aluminium velgen"
"Ambient temperature","Omgevingstemperatuur"
"Antenna","Antenne"
"Antenna inside the luggage compartment","Antenne in de bagageruimte"
"Antenna location","Antennelocaties"
"Antenna outside the luggage compartment","Antenne buiten de bagageruimte"
"Antennas inside the cabin","Antennes in de cabine"
"Antennas outside the cabin","Antennes buiten de cabine"
"Anti-glare function","Antischitterfunctie"
"Anti-lock Brake System","Antiblokkeersysteem van de remmen"
"Appendix","Bijlage"
"Applying/releasing","Inschakelen/uitschakelen"
"Appreciable loss of power","Merkbaar vermogensverlies"
"Approach warning","Waarschuwing voor nadering"
"Approaching vehicle","Naderend voertuig"
"Approaching vehicle speed","Rijsnelheid naderend voertuig"
"Approaching vehicles","Naderende voertuigen"
"Approximate alert distance","Waarschuwingsafstand bij benadering"
"Approximate Distance","Afstand bij benadering"
"Approximate distance to obstacle","Afstand tot obstakel bij benadering"
"Area illuminated by the high beams","Gebied verlicht door het grootlicht"
"Area illuminated by the low beams","Gebied verlicht door het dimlicht"
"Armrest","Armleuning"
"Arrangements for data processing","Voorzieningen voor gegevensverwerking"
"Assist grips","Hemelhandgrepen"
"Audible symptoms","Hoorbare symptomen"
"Audio remote control switches","Afstandsbedieningsschakelaars voor het audiosysteem"
"Audio system-linked display","Weergave gekoppeld aan het audiosysteem"
"Audio system linked display","Weergave gekoppeld aan het audiosysteem"
"Audio system screen","Scherm van audiosysteem"
"Audio/video system","Audio-/videosysteem"
"Austria","Oostenrijk"
"AUTO","AUTO"
"Auto power off function","Functie voor automatische uitschakeling"
"Automatic adjustment of the mirror angle","Automatische afstelling van de hoek van de spiegels"
"Automatic air conditioning system","Automatisch aircosysteem"
"Automatic cancelation of the cruise control","Automatische uitschakeling van de cruisecontrol"
"Automatic cancelation of vehicle-to-vehicle distance control mode","Automatische uitschakeling van de modus voor regeling van de afstand tot de voorligger"
"Automatic cancellation of the speed limiter","Automatische uitschakeling van de snelheidsbegrenzer"
"Automatic car washes","Automatische wasstraten"
"Automatic check function","Functie voor automatische controle"
"Automatic door locking and unlocking system","Systeem voor automatisch vergrendelen en ontgrendelen van portieren"
"Automatic door locking and unlocking systems","Systemen voor automatisch vergrendelen en ontgrendelen van portieren"
"Automatic Emergency Calls","Automatische noodoproepen"
"Automatic headlight leveling system","Automatisch koplampnivelleringssysteem"
"Automatic headlight system","Automatisch koplampsysteem"
"Automatic High Beam","Automatic High Beam (automatisch grootlicht)"
"Automatic High Beam switch","Schakelaar voor automatisch grootlicht"
"Automatic illumination of the interior lights","Automatische verlichting van de interieurverlichting"
"Automatic light control system","Automatische verlichtingsregeling"
"automatic light off system","Automatische uitschakeling van verlichting"
"Automatic mirror folding and extending operation","Automatisch in- en uitklappen van de buitenspiegels"
"Automatic mode","Automatische modus"
"Automatic mode switch","Schakelaar voor automatische modus"
"Automatic P position selection function","Functie voor automatische selectie van de P-stand"
"Automatic Rear Flashing Hazard Lights","Automatische alarmknipperlichten achter"
"Automatic Releasing the Grip control","Automatische uitschakeling van Grip Control"
"Automatic system cancelation of emergency brake signal","Automatische uitschakeling van het noodremsignaal"
"Automatic system cancelation of hill-start assist control","Automatische uitschakeling van Hill-Start Assist Control (assistentie bij wegrijden op een helling)"
"Auxiliary battery","Hulpbatterij"
"Auxiliary box","Extra vak"
"Auxiliary box lights","Verlichting in extra vak"
"Auxiliary boxes","Extra vakken"
"Auxiliary catch lever","Motorkapgrendel"
"Available","Beschikbaar"
"Average fuel economy","Gemiddeld brandstofverbruik"
"Average power consumption","Gemiddeld energieverbruik"
"Average speed","Gemiddelde snelheid"
"Average vehicle speed","Gemiddelde rijsnelheid"
"Avoiding 12-volt battery fires or explosions","Voorkomen dat de 12V-batterij vlam vat of explodeert"
"Avoiding damage to vehicle parts","Schade aan auto-onderdelen voorkomen"
"AWD models","Modellen met vierwielaandrijving"
"AWD operation status","AWD-werkingsstatus"
"AWD operation status display","Weergave AWD-werkingsstatus"
"AWD system display","Weergave van systeem voor voorwielaandrijving"
"Back-up light","Achteruitrijlicht"
"Back-up lights","Achteruitrijlichten"
"Back door","Bagageklep"
"Back door closer","Sluitmechanisme voor bagageklep"
"Back door closing assist","Sluithulp van de bagageklep"
"Back door precautions","Voorzorgsmaatregelen voor de bagageklep"
"Back door reserve lock function","Functie voor voorbereiding op vergrendeling van bagageklep"
"Back door spindles","Aandrijfassen van de bagageklep"
"Baking soda","Baking soda (natriumwaterstofcarbonaat)"
"Basic functions","Basisfuncties"
"Battery","Batterij"
"Battery-saving function","Batterijspaarfunctie"
"Battery cooler","Batterijkoeler"
"Battery Electric Vehicle driving tips","Tips voor rijden met het batterij-elektrische voertuig"
"Battery precautions","Voorzorgsmaatregelen voor de batterij"
"Battery Preconditioning","Batterijpreconditionering"
"Battery saving function","Batterijspaarfunctie"
"Beep","piep"
"Before driving","Vóór het rijden"
"Before driving the vehicle","Voordat u met de auto gaat rijden"
"Before jacking up the vehicle","Voordat u de auto opkrikt"
"Before leaving home","Voordat u van huis gaat"
"Before leaving the vehicle","Voordat u uitstapt"
"Before recharging","Voordat u gaat opladen"
"Before repairing the vehicle","Voordat u de auto repareert"
"Before replacing fuses","Voordat u zekeringen gaat vervangen"
"Before starting the EV system","Vóór het starten van het EV-systeem"
"digital inner mirror","digitale binnenspiegel"
"Before using the LDA system","Voordat u het LDA-systeem gebruikt"
"Before using the LTA system","Voordat u het LTA-systeem gebruikt"
"Bent wheels that have been straightened","Velgen die zijn rechtgebogen na verbuiging"
"Bicycles","Fietsen"
"Bicyclists","Fietsers"
"Blank","Blanco"
"Blind Spot Monitor","dodehoekbewaking"
"Blind Spot Monitor operation","Werking van de dodehoekbewaking"
"Blown fuse","Doorgebrande zekering"
"blue","Blauw"
"Blue","Blauw"
"Bluetooth devices","Bluetooth-apparaten"
"Bolts and nuts on chassis and body","Bouten en moeren op chassis en carrosserie"
"Bottle","Fles"
"Bottle holders","Flessenhouders"
"Brake","Rem"
"Brake assist","Remhulp"
"Brake control","Remregeling"
"Brake fluid","Remvloeistof"
"Brake function","Remwerking"
"Brake Hold","Brake Hold"
"Brake hold function","Brake Hold-functie"
"Brake hold operated indicator","Indicatielampje Brake Hold ingeschakeld"
"Brake hold standby indicator","Indicatielampje Brake Hold stand-by"
"Brake hold switch","Brake Hold-schakelaar"
"Brake hold system","Brake Hold-systeem"
"Brake hold system operating conditions","Voorwaarden voor de werking van het Brake Hold-systeem"
"Brake Override System","Brake Override System"
"Brake pads and calipers","Remblokken en remklauwen"
"Brake pads and discs","Remblokken en -schijven"
"Brake parts","Onderdelen van het remsysteem"
"Brake pedal and parking brake","Rempedaal en parkeerrem"
"Brake pipes and hoses","Remleidingen en -slangen"
"Brake status","Status van de rem"
"Brake system","Remsysteem"
"Brake system warning light","Waarschuwingslampje remsysteem"
"Braking force","Remkracht"
"Break-in schedule","Inrijschema"
"Break-in tips","Tips voor inrijden"
"Break suggestion function","Functie voor pauzesuggestie"
"Breaking in your new SUBARU","Inrijden van uw nieuwe SUBARU"
"Bright","Fel"
"Brighter","Lichter"
"Brightness control","Helderheidsregeling"
"BRITAX","BRITAX"
"BSM outside rear view mirror indicators","Indicatielampjes dodehoekbewaking buitenspiegels"
"Bull bars or kangaroo bars","Bullbars"
"Bumpers","Bumpers"
"Buzzer","Zoemer"
"Buzzer volume","Zoemervolume"
"CABRIOFIX","CABRIOFIX"
"Calendar","Kalender"
"Calendar settings","Kalenderinstellingen"
"Call sending/receiving and history display","Oproep starten/aannemen en weergave van oproepgeschiedenis"
"Camera","Camera"
"Camera indicator","Indicatielampje voor de camera"
"Camera switch","Cameraschakelaar"
"Cancel switch","Schakelaar voor uitschakeling"
"Cancelation procedure","Procedure voor verwijderen"
"Capacity","Capaciteit"
"Capacity reduction of the traction battery","Afname van de capaciteit van de tractiebatterij"
"Card holders","Kaarthouders"
"Care","Verzorging"
"Cargo and luggage","Bagage en lading"
"Cargo hooks","Bagagehaken"
"Caring for leather areas","Leren oppervlakken verzorgen"
"Catch protection function","Beveiligingsfunctie tegen vastzitten"
"CAUTION","VOORZICHTIG"
"Caution after DC charging","Wees voorzichtig bij het DC-laden"
"Caution label","Waarschuwingsetiket"
"Caution symbols","Symbolen “voorzichtig”"
"Caution when charging","Wees voorzichtig bij het opladen"
"Caution while driving","Waarschuwing tijdens het rijden"
"Caution while in motion","Waarschuwing tijdens het rijden"
"Ceiling","Hemel"
"Center console","Middenconsole"
"Center console light","Verlichting van middenconsole"
"Certification","Certificering"
"Certifications","Certificeringen"
"Chains","Kettingen"
"Changing the shift position","Wijzigen van de versnellingsstand"
"Charge area","Ladingsgedeelte"
"Charge area","Laadoppervlak"
"Charging","Opladen"
"Charging-linked functions","Functies gerelateerd aan het opladen"
"Charging-related messages","Meldingen met betrekking tot opladen"
"Charging area","Laadoppervlak"
"Charging cable","Laadkabel"
"Charging cable indicator","Indicatielampje laadkabel"
"Charging components","Laadcomponenten"
"Charging connector","Laadaansluiting"
"Charging current","Laadstroom"
"Charging electricity","Laadstroom"
"Charging equipment","Laadapparatuur"
"Charging equipment and names","Laadapparatuur en benamingen"
"Charging indicator","Laadindicatielampje"
"Charging limit","Laadlimiet"
"Charging methods","Laadmethodes"
"Charging mode","Laadmodus"
"Charging port","Laadpoort"
"Charging port lid","Klep van laadpoort"
"Charging port lid open/close detection switch","Schakelaar voor de detectie van een open/gesloten klep van de laadpoort"
"Charging precautions","Voorzorgsmaatregelen voor opladen"
"Charging procedure","Laadprocedure"
"Charging rates:","Laadsnelheid:"
"Charging schedule","Laadplanning"
"Charging schedule function","Functie voor laadplanning"
"Charging station","Laadstation"
"CHARGING STATION INFORMATION","INFORMATIE OVER LAADSTATION"
"Charging system","Laadsysteem"
"Charging system error","Storing in het laadsysteem"
"Charging system warning light","Waarschuwingslampje laadsysteem"
"Charging the 12-volt battery","Opladen van de 12V-batterij"
"Charging the traction battery","Opladen van de tractiebatterij"
"Charging tips","Laadtips"
"Charging tray","Oplaadvak"
"Charging tray side","Oplaadvak"
"Checking","Controleren"
"Checking 12-volt battery fluid","De vloeistof van de 12V-batterij controleren"
"Checking and replacing fuses","Controleren en vervangen van zekeringen"
"Checking interval","Controle-interval"
"Checking the 12-volt battery","De 12V-batterij controleren"
"Checking the heater coolant","Koelvloeistof van de verwarming controleren"
"Checking the power control unit coolant","De koelvloeistof van de eenheid voor vermogensregeling controleren"
"Checking the radiator and condenser","De radiateur en condensor controleren"
"Checking tire inflation pressure","De bandenspanning controleren"
"Checking tires","Banden controleren"
"Child-protectors","Kindersloten"
"child restraint system","Kinderzitje"
"Child restraint system","Kinderzitje"
"Child restraint system fixed with a seat belt","Kinderzitje bevestigd met een veiligheidsgordel"
"Child restraint system fixed with an ISOFIX lower anchorage","Kinderzitje bevestigd met een ISOFIX-bevestiging aan de onderkant"
"Child restraint system installation","Plaatsen van kinderzitje"
"Child restraint system installation method","Bevestigingsmethode van kinderzitjes"
"Child restraint systems","Kinderzitjes"
"Child safety","Veiligheid van kinderen"
"Child seat belt usage","Gebruik van de veiligheidsgordel door kinderen"
"Child seats definition","Definitie van kinderzitjes"
"Child seats installation","Aanbrengen van kinderzitjes"
"Child seats/child restraint system installation","Plaatsen van kinderzitjes"
"Child weight","Gewicht van kind"
"Class","Klasse"
"Cleaning","Schoonmaken"
"Cleaning aluminum parts","Aluminium onderdelen schoonmaken"
"Cleaning and protecting the vehicle exterior","De buitenkant van de auto schoonmaken en beschermen"
"Cleaning and protecting the vehicle interior","Het interieur van de auto schoonmaken en beschermen"
"Cleaning detergents","Schoonmaakmiddelen"
"Cleaning fabric portions","Stoffen gedeeltes schoonmaken"
"Cleaning instructions","Schoonmaakinstructies"
"Cleaning the camera","Schoonmaken van de camera"
"Clock","Klok"
"Clock setting","Klokinstelling"
"Close & lock (walk away) function","Functie voor sluiten en vergrendelen (weglopen)"
"Closing Display","Eindscherm"
"Closing the windows","Sluiten van de ruiten"
"Cloud Navigation","Cloud Navigation"
"Coat hooks","Jashaken"
"Coins","Munten"
"Cold tire inflation pressure","Bandenspanning bij koude banden"
"Collision from the front","Frontale botsing"
"Collision from the rear","Botsing van achteren"
"Collision from the side","Botsing van opzij"
"Collision from the side at an angle","Zijdelingse botsing onder een hoek"
"Collision from the side to the vehicle body other than the passenger compartment","Botsing tegen de zijkant van de auto buiten de cabine"
"Column lock release","Ontgrendelen van stuurslot"
"Compartment","Ruimte"
"Compass display","Kompasweergave"
"Compatibility of each seating position with child restraint systems","Geschiktheid van elke stoelpositie voor kinderzitjes"
"Components","Componenten"
"Compressed air source","Bron van perslucht"
"Compressor","Compressor"
"Compressor switch","Compressorschakelaar"
"Condensation build-up on the inside of the lens","Condensaatvorming in de lens"
"Condenser","Condensor"
"Configuration","Configuratie"
"Conformity","Conformiteit"
"Console box","Consolevak"
"Console box lid","Deksel van consolevak"
"Constant speed cruising","Met constante snelheid rijden met cruisecontrol"
"Contact information","Contactgegevens"
"Content display area","Weergavegebied voor inhoud"
"Content of driving information","Inhoud van rij-informatie"
"Conventional wrench","Steeksleutel"
"Coolant","Koelvloeistof"
"Coolant selection","Keuze van koelvloeistof"
"Coolant type","Type koelvloeistof"
"Cooling fan","Koelventilator"
"Cooling system","Koelsysteem"
"Cooling system coolant","Koelvloeistof van koelsysteem"
"Coping with flat tires","Wat te doen bij een lekke band"
"Coping with overheat","Wat te doen bij oververhitting"
"Correct driving posture","Juiste rijhouding"
"Correction procedure","Correctieprocedure"
"Correction procedures","Correctieprocedures"
"Corrosion inspection","Corrosie-inspectie"
"Country","Land"
"Croatia","Kroatië"
"Cross chain","Dwarsketting"
"Crossing vehicle speed","Snelheid van kruisend voertuig"
"crossing vehicles","kruisende voertuigen"
"Cruise control","Cruisecontrol"
"Cruise control indicator","Indicatielampje cruisecontrol"
"Cruise control switch","Cruisecontrolschakelaar"
"Cruise control system","Cruisecontrolsysteem"
"Cup holders","Bekerhouders"
"Current electricity consumption","Huidig elektriciteitsverbruik"
"Current electricity consumption screen","Scherm voor huidig elektriciteitsverbruik"
"Current fuel consumption","Huidige brandstofverbruik"
"Current Power consumption","Huidig energieverbruik"
"Curtain shield airbag operating conditions","Voorwaarden voor activering van de gordijnairbags"
"Curtain shield airbag precautions","Voorzorgsmaatregelen voor gordijnairbags"
"Curtain shield airbags","Gordijnairbags"
"Curve deceleration assistance","Hulp bij het afremmen van bochten"
"Curve speed reduction","Vaart minderen in bochten"
"Curve speed reduction function","Functie voor vaart minderen in bochten"
"customer@toyota.gr","customer@toyota.gr"
"customerservice@toyota.ie","customerservice@toyota.ie"
"Customizable features","Aan te passen functies"
"Customization","Aanpassing"
"Customized setting","Aangepaste instelling"
"Customizing vehicle features","Aanpassen van voertuigfuncties"
"Cyber Attack Risk","Risico op cyberaanvallen"
"D.SNOW/MUD mode","D.SNOW/MUD-modus"
"D.SNOW/MUD mode indicator","Indicatielampje D.SNOW/MUD-modus"
"DAC","DAC"
"Dark","Donker"
"Darker","Donkerder"
"Dashboard","Dashboard"
"Data processing flow","Gegevensverwerkingsstroom"
"Data usage","Gegevensgebruik"
"datenschutz@toyota-frey.at","datenschutz@toyota-frey.at"
"Daytime running light function","Functie voor voertuigverlichting overdag"
"Daytime running light system","Systeem voor voertuigverlichting overdag"
"Daytime running lights","voertuigverlichting overdag"
"DC","DC"
"DC charging","DC-laden"
"DC charging does not start","DC-laden begint niet"
"DC charging inlet","DC-laadingang"
"DC charging power","DC-laadvermogen"
"DCM","DCM"
"Deceleration and follow-up cruising","Afremmen en cruisecontrol"
"Deceleration Assist","Afremhulp"
"Deceleration stop phase","Rem-en-stopfase"
"Deck board","Afdekplank"
"Deck under tray","Bak onder vloer van bagageruimte"
"DEEP SNOW•MUD Mode","Modus DIEPE SNEEUW/MODDER"
"Default","standaard"
"Default setting","Standaardinstelling"
"Defensive driving","Defensief rijden"
"Definition of symbols","Definitie van symbolen"
"Defogger","Ontwaseming"
"Defogging the mirrors","Ontwasemen van de spiegels"
"Defogging the rear window and outside rear view mirrors","Ontwasemen van de achterruit en buitenspiegels"
"Defogging the windshield","Ontwasemen van de voorruit"
"delegue.protectiondonnees@toyota-europe.com","delegue.protectiondonnees@toyota-europe.com"
"Description","Beschrijving"
"DESCRIPTION OF THE ECALL IN-VEHICLE SYSTEM","BESCHRIJVING VAN HET ECALL-SYSTEEM IN DE AUTO"
"Description of the operation and the functionalities of the TPS system/added value service","Beschrijving van de werking en functies van het TPS-systeem/dienst die toegevoegde waarde biedt"
"DESCRIPTION OF THE SUBARU Care IN-VEHICLE SYSTEM","BESCHRIJVING VAN HET SUBARU Care-SYSTEEM IN DE AUTO"
"Detail information for child restraint systems installation","Gedetailleerde informatie voor het bevestigen van een kinderzitje"
"Details/Actions","Details/handelingen"
"Detectable objects","Detecteerbare objecten"
"Detection areas of approaching vehicles","Detectiegebieden voor naderende voertuigen"
"Detection range","Detectiebereik"
"Detection range of the sensors","Detectiebereik van de sensoren"
"Detection sensitivity","Detectiegevoeligheid"
"Dial position","Stand van draaiknop"
"Digital audio players","Digitale audiospelers"
"digital inner mirror","digitale binnenspiegel"
"digital mirror mode","digitale spiegelmodus"
"Digital mirror mode operating condition","Voorwaarden voor de werking van de digitale spiegelmodus"
"Diluting washer fluid","Ruitensproeiervloeistof verdunnen"
"Dim/Bright","Dim/helder"
"Dimension","Afmetingen"
"Dimensions and weights","Maten en gewichten"
"Disabling the TRC system","De tractieregeling uitschakelen"
"Disc wheel","Schijfwiel"
"Discharging","Ontladen"
"Display","Display"
"Display and menu icons","Display en menupictogrammen"
"Display contents","Weergave-inhoud"
"Display Function","Weergavefunctie"
"Display items","Weergaveonderdelen"
"Display off button","Scherm uit-knop"
"Display range","Weergavebereik"
"Display settings","Weergave-instellingen"
"Displayed value","Weergegeven waarde"
"Displays the average vehicle speed since the display was reset","Geeft de gemiddelde rijsnelheid weer sinds de weergave is gereset"
"Displays the distance driven since EV system start","Geeft de gereden afstand weer sinds het EV-systeem is gestart"
"Displays the distance driven since the display was reset","Geeft de gereden afstand weer sinds de weergave is gereset"
"Displays the elapsed time since EV system start","Geeft de verstreken tijd weer sinds het EV-systeem is gestart"
"Displays the elapsed time since the display was reset","Geeft de verstreken tijd weer sinds de weergave is gereset"
"Displays the vehicle speed","Geeft de rijsnelheid weer"
"Displays warning messages if a malfunction occurs","Geeft een waarschuwing als een storing optreedt"
"Distance","Afstand"
"Distance until next engine oil change","Afstand tot volgende motorolieverversing"
"Distilled water","Gedestilleerd water"
"Do-it-yourself maintenance","Doe-het-zelf-onderhoud"
"Do-it-yourself service precautions","Voorzorgsmaatregelen voor doe-het-zelf-onderhoud"
"Door lock","Portiervergrendeling"
"Door lock linked window operation","Aan portiervergrendeling gekoppelde werking van de ruiten"
"door lock switch","schakelaar voor portiervergrendeling"
"door lock switches","schakelaars voor portiervergrendeling"
"Door trim ornament lights","Verlichting van sierbekleding van portier"
"Doors","portieren"
"Double locking system","Dubbel vergrendelingssysteem"
"Double locking system precaution","Voorzorgsmaatregel voor het dubbelevergrendelingssysteem"
"Downhill assist control system indicator","Indicatielampje Downhill Assist Control-systeem"
"dpcp@toyota.hr","dpcp@toyota.hr"
"dpcp@toyota.si","dpcp@toyota.si"
"Drawbar load","Belasting van de trekbalk"
"DRCC","DRCC"
"Drive-Start Control","regeling voor starten van aandrijving"
"Drive Connect","Drive Connect"
"Drive distance","Gereden afstand"
"Drive Info","Rij-informatie"
"Drive Info Items","Items van rij-informatie"
"Drive Info Type","Type rij-informatie"
"Drive information","Rij-informatie"
"Drive information items","Rij-informatieonderdelen"
"Drive information type","Rij-informatietype"
"Drive mode cancellation","Rijmodus uitschakelen"
"Drive mode select switch","Schakelaar voor rijmodusselectie"
"Drive mode select switch Operation","Bediening van schakelaar voor rijmodusselectie"
"Drive shaft boots","Aandrijfashoezen"
"Driver","Bestuurder"
"Driver airbag","Airbag bestuurder"
"Driver and front passenger","Bestuur en voorpassagier"
"Driver break suggestion","Pauzesuggestie voor bestuurder"
"Driver distraction","Afleiding van de bestuurder"
"Driver monitor","Bestuurderscamera"
"Driver monitor camera","Bestuurderscamera"
"Driver Monitor support function","Ondersteuningsfunctie van bestuurderscamera"
"Driver’s and front passenger’s seat belt reminder light","Herinneringslampje veiligheidsgordel bestuurder en voorpassagier"
"Driver’s and front passenger’s seat belt warning buzzer","Waarschuwingszoemer veiligheidsgordel bestuurder en voorpassagier"
"Driver’s door","Bestuurdersportier"
"Driver’s door linked door unlocking function","Aan bestuurdersportier gekoppelde functie voor portierontgrendeling"
"Driver’s seat position memory","Bestuurdersstoelpositiegeheugen"
"Driving assist information","Rijhulpinformatie"
"Driving assist information indicator","Indicatielampje rijhulpinformatie"
"Driving assist mode select switch","Keuzeschakelaar rijhulpmodus"
"Driving assist switch","Rijhulpschakelaar"
"Driving assist systems","Rijhulpsystemen"
"Driving in the rain","Rijden in de regen"
"Driving information display","Weergave van rij-informatie"
"Driving mode select switch","Keuzeschakelaar rijmodus"
"Driving on rough roads","Rijden op slecht wegdek"
"Driving position","Rijpositie"
"Driving position memory","Rijpositiegeheugen"
"Driving position memory switches","Schakelaars voor rijpositiegeheugen"
"Driving position recall","Oproepen van rijpositie"
"Driving position registration","Opslaan van rijpositie"
"Driving procedure","Rijprocedure"
"Driving procedures","Rijprocedures"
"Driving range","Actieradius"
"Driving support system information","Informatie over rijhulpsystemen"
"Driving support system information display","Weergave van informatie over rijhulpsystemen"
"Driving support system status display area","Weergavegebied voor de status van rijhulpsystemen"
"Driving the vehicle","Rijden met de auto"
"Driving tips","Rijtips"
"Driving to spread the liquid sealant evenly","Rijden om het vloeibare afdichtmiddel gelijkmatig te verdelen"
"Driving with snow tires","Rijden met winterbanden"
"Driving with tire chains","Rijden met sneeuwkettingen"
"During customization","Tijdens het aanpassen van instellingen"
"During setting up the display","Tijdens het instellen van het display"
"Dusty road driving","Stoffige wegen"
"Dynamic radar cruise control","Dynamische cruisecontrol met radar"
"Dynamic radar cruise control indicator","Indicatielampje dynamische cruisecontrol met radar"
"Dynamic radar cruise control system warning messages and buzzers","Waarschuwingsmeldingen en -zoemers van de dynamische cruisecontrol met radar"
"dynamic radar cruise control with full-speed range","Dynamische cruisecontrol met radar voor het volledige snelheidsbereik"
"Dynamic Radar Cruise Control with Road Sign Assist","Dynamische cruisecontrol met radar en verkeersbordherkenning"
"e-Transaxle fluid","e-Transaxle-vloeistof"
"e-Transaxle Fluid TE","e-Transaxle Fluid TE"
"Earlier","eerdere"
"Early","vroeg"
"ECB operating sound","Werkingsgeluid van ECB"
"Eco air conditioning mode","Eco-airconditioningsmodus"
"Eco drive mode","Eco-rijmodus"
"Eco drive mode indicator","Indicatielampje eco-rijmodus"
"Eco mode","Eco-modus"
"EDSS","EDSS"
